ID,DR_NO,DATE OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Premis Cd,Premis Desc,Weapon Used Cd,Crm Cd 1,LOCATION,Cross Street,LAT,LON
0,140113642,06/02/2014 12:00:00 AM,1,Central,142,330,BURGLARY FROM VEHICLE,123.0,PARKING UNDERGROUND/BUILDING,0,330.0,400 S HOPE ST,0,34.0522,-118.2538
1,142015449,03/01/2014 12:00:00 AM,20,Olympic,2015,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,100 N EDGEMONT ST,0,34.0728,-118.2975
2,140318666,08/25/2014 12:00:00 AM,3,Southwest,392,624,BATTERY - SIMPLE ASSAULT,501.0,SINGLE FAMILY DWELLING,400.0,624.0,4800 CRENSHAW BL,0,34.0,-118.3308
3,140207314,03/05/2014 12:00:00 AM,2,Rampart,219,354,THEFT OF IDENTITY,218.0,BEAUTY/BARBER SHOP,0,354.0,1300 W SUNSET BL,0,34.072,-118.2508
4,141304259,01/03/2014 12:00:00 AM,13,Newton,1307,624,BATTERY - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,624.0,700 S SAN PEDRO ST,0,34.0407,-118.2468
5,142010645,05/24/2014 12:00:00 AM,20,Olympic,2016,122,"RAPE, ATTEMPTED",502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,122.0,100 S NORMANDIE AV,0,34.0728,-118.3004
6,141405651,01/23/2014 12:00:00 AM,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",212.0,TRANSPORTATION FACILITY (AIRPORT),0,341.0,400 WORLD WY,0,33.9433,-118.4072
7,140109358,03/24/2014 12:00:00 AM,1,Central,176,350,"THEFT, PERSON",102.0,SIDEWALK,0,350.0,8TH ST,MAPLE AV,34.0405,-118.2508
8,141112267,06/20/2014 12:00:00 AM,11,Northeast,1189,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",102.0,SIDEWALK,0,740.0,SAN FERNANDO RD,FIGUEROA ST,34.0814,-118.2257
9,140804229,01/07/2014 12:00:00 AM,8,West LA,884,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,10700 W PICO BL,0,34.0419,-118.4247
10,140123293,10/12/2014 12:00:00 AM,1,Central,144,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",102.0,SIDEWALK,200.0,230.0,6TH ST,SPRING,34.046,-118.2509
11,140805856,02/19/2014 12:00:00 AM,8,West LA,832,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",123.0,PARKING UNDERGROUND/BUILDING,0,341.0,1100 BARRY AV,0,34.0523,-118.4609
12,141606486,03/12/2014 12:00:00 AM,16,Foothill,1637,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),402.0,MARKET,0,442.0,7700 FOOTHILL BL,0,34.2593,-118.3031
13,141418738,05/26/2014 12:00:00 AM,14,Pacific,1496,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",203.0,OTHER BUSINESS,0,668.0,9700 AIRPORT BL,0,33.9482,-118.386
14,142107624,03/22/2014 12:00:00 AM,21,Topanga,2128,220,ATTEMPTED ROBBERY,108.0,PARKING LOT,400.0,220.0,20100 SATICOY ST,0,34.2084,-118.571
15,141312410,05/31/2014 12:00:00 AM,13,Newton,1307,310,BURGLARY,203.0,OTHER BUSINESS,0,310.0,700 STANFORD AV,0,34.039,-118.2444
16,141304481,01/08/2014 12:00:00 AM,13,Newton,1352,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),122.0,"VEHICLE, PASSENGER/TRUCK",0,745.0,400 E 47TH ST,0,34.0007,-118.2696
17,140114698,06/17/2014 12:00:00 AM,1,Central,185,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,123.0,PARKING UNDERGROUND/BUILDING,511.0,930.0,CHICK HEARN,FIGUEROA ST,34.0437,-118.2652
18,140501265,11/02/2014 12:00:00 AM,5,Harbor,515,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,1700 WILMINGTON BL,0,33.7969,-118.2752
19,140710706,06/11/2014 12:00:00 AM,7,Wilshire,762,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,1700 S CRESCENT HEIGHTS BL,0,34.0467,-118.3738
20,141821495,12/11/2014 12:00:00 AM,18,Southeast,1842,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,200 W 112TH ST,0,33.933,-118.2761
21,141311273,05/14/2014 12:00:00 AM,13,Newton,1333,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,1000 E 33RD ST,0,34.0138,-118.2583
22,140905875,02/06/2014 12:00:00 AM,9,Van Nuys,904,310,BURGLARY,407.0,HARDWARE/BUILDING SUPPLY,0,310.0,14500 KESWICK ST,0,34.2103,-118.4488
23,140213396,05/10/2014 12:00:00 AM,2,Rampart,281,956,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,956.0,1200 S LAKE ST,0,34.0493,-118.2828
24,141218134,08/07/2014 12:00:00 AM,12,77th Street,1258,624,BATTERY - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,624.0,7200 S SAN PEDRO ST,0,33.9747,-118.2695
25,140316928,08/01/2014 12:00:00 AM,3,Southwest,311,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),203.0,OTHER BUSINESS,0,745.0,5300 W ADAMS BL,0,34.0325,-118.3587
26,140911831,06/15/2014 12:00:00 AM,9,Van Nuys,933,251,SHOTS FIRED AT INHABITED DWELLING,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,251.0,14700 DELANO ST,0,34.1827,-118.4531
27,141108411,04/03/2014 12:00:00 AM,11,Northeast,1147,813,CHILD ANNOYING (17YRS & UNDER),101.0,STREET,0,813.0,SCARBORO,WINMAR,34.104,-118.2257
28,140814766,08/28/2014 12:00:00 AM,8,West LA,857,649,DOCUMENT FORGERY / STOLEN FELONY,203.0,OTHER BUSINESS,0,649.0,9500 W PICO BL,0,34.0553,-118.3954
29,141612226,08/11/2014 12:00:00 AM,16,Foothill,1612,888,TRESPASSING,729.0,SPECIALTY SCHOOL/OTHER,0,888.0,11200 HERRICK AV,0,34.2735,-118.4173
30,141813219,06/30/2014 12:00:00 AM,18,Southeast,1844,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,112TH,AVALON,33.933,-118.2652
31,141323122,12/03/2014 12:00:00 AM,13,Newton,1321,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,2300 S HILL ST,0,34.0285,-118.269
32,141512541,06/14/2014 12:00:00 AM,15,N Hollywood,1506,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,745.0,7300 VINELAND AV,0,34.2034,-118.3703
33,141614224,07/16/2014 12:00:00 AM,16,Foothill,1638,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,10600 COMMERCE AV,0,34.2612,-118.2885
34,150911655,11/01/2014 12:00:00 AM,9,Van Nuys,963,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,15100 MAGNOLIA BL,0,34.1649,-118.4618
35,141508561,03/31/2014 12:00:00 AM,15,N Hollywood,1515,210,ROBBERY,203.0,OTHER BUSINESS,511.0,210.0,11700 VOSE ST,0,34.1985,-118.3878
