ID,APN,Registered Date,Property Type,Property Address,Property Area,Rpt Dist No,Crm Cd Desc,Longitude,Latitude,Weapon Used Cd,Crime Code
0,140113642,06/02/2014,PARKING UNDERGROUND/BUILDING,400 S HOPE ST,Central,142,BURGLARY FROM VEHICLE,-118.2538,34.0522,0,330
1,142015449,03/01/2014,SINGLE FAMILY DWELLING,100 N EDGEMONT ST,Olympic,2015,THEFT OF IDENTITY,-118.2975,34.0728,0,354
2,140318666,08/25/2014,SINGLE FAMILY DWELLING,4800 CRENSHAW BL,Southwest,392,BATTERY - SIMPLE ASSAULT,-118.3308,34,400,624
3,140207314,03/05/2014,BEAUTY/BARBER SHOP,1300 W SUNSET BL,Rampart,219,THEFT OF IDENTITY,-118.2508,34.072,0,354
4,141304259,01/03/2014,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",700 S SAN PEDRO ST,Newton,1307,BATTERY - SIMPLE ASSAULT,-118.2468,34.0407,400,624
5,142010645,05/24/2014,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",100 S NORMANDIE AV,Olympic,2016,"RAPE, ATTEMPTED",-118.3004,34.0728,400,122
6,141405651,01/23/2014,TRANSPORTATION FACILITY (AIRPORT),400 WORLD WY,Pacific,1494,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.4072,33.9433,0,341
7,140109358,03/24/2014,SIDEWALK,8TH ST,Central,176,"THEFT, PERSON",-118.2508,34.0405,0,350
8,141112267,06/20/2014,SIDEWALK,SAN FERNANDO RD,Northeast,1189,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",-118.2257,34.0814,0,740
9,140804229,01/07/2014,PARKING LOT,10700 W PICO BL,West LA,884,BURGLARY FROM VEHICLE,-118.4247,34.0419,0,330
10,140123293,10/12/2014,SIDEWALK,6TH ST,Central,144,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",-118.2509,34.046,200,230
11,140805856,02/19/2014,PARKING UNDERGROUND/BUILDING,1100 BARRY AV,West LA,832,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",-118.4609,34.0523,0,341
12,141606486,03/12/2014,MARKET,7700 FOOTHILL BL,Foothill,1637,SHOPLIFTING - PETTY THEFT ($950 & UNDER),-118.3031,34.2593,0,442
