ID,APN,R_Date,P_Type,P_Zip
0,4239001009,1/7/14,Multi-Family,90291
1,5006020018,5/12/14,Single Family,90043
2,5115024026,1/14/14,Multi-Family,90011
3,5114031027,4/10/14,Multi-Family,90011
4,6074021008,1/27/14,Single Family,90061
5,2236017018,1/14/14,Multi-Family,91411
6,5124022013,1/17/14,Single Family,90007
7,2511004001,12/4/14,Single Family,91342
8,5137029022,12/9/14,Multi-Family,90015
9,4125014023,10/1/14,Multi-Family,90045
10,5032022181,12/29/14,Single Family,90008
11,7469005007,9/29/14,Single Family,90731
12,5026007005,1/31/14,Single Family,90008
13,2683020016,9/5/14,Single Family,91344
14,4258017094,2/25/14,Single Family,90064
15,2315018021,5/6/14,Single Family,91352
16,2502023066,7/14/14,Single Family,91342
17,5420023001,1/23/14,Single Family,90026
18,4248030005,4/9/14,Single Family,90066
19,4125003027,1/13/14,Single Family,90045
20,2014025001,6/3/14,Single Family,93063
21,2010012024,9/4/14,Single Family,91304
22,2375020126,12/2/14,Single Family,91604
23,5016013006,11/25/14,Single Family,90062
24,2108028003,10/31/14,Single Family,91306
25,5048003052,4/8/14,Single Family,90016
26,2107015040,9/30/14,Single Family,91306
27,2601055027,10/27/14,Single Family,91344
28,2034029045,10/27/14,Single Family,91307
29,5116011023,4/4/14,Single Family,90011
30,5115017008,3/7/14,Single Family,90011
31,4118013053,9/10/14,Single Family,90293
32,2177040017,9/8/14,Single Family,91356
33,7460012014,12/18/14,Single Family,90732
34,5511024015,1/20/14,Single Family,90048
35,6054024007,3/18/14,Single Family,90044
36,2782007016,7/9/14,Single Family,91306
37,5426008027,3/31/14,Single Family,90026
38,2365013009,1/28/14,Single Family,91602
39,2222003011,12/1/14,Single Family,91406
40,2530031019,12/15/14,Single Family,91342
41,2293001021,6/9/14,Single Family,91436
42,5204010013,5/28/14,Single Family,90031
43,2692024009,1/22/14,Single Family,91325
44,4311021019,3/12/14,Single Family,90034
45,5013026009,1/13/14,Single Family,90043
46,4313021001,1/8/14,Single Family,90034
47,2101013003,11/5/14,Single Family,91335
48,2163021029,9/8/14,Single Family,91356
49,5083016016,7/7/14,Multi-Family,90019
50,6041001018,1/27/14,Single Family,90003
51,6006024028,9/15/14,Multi-Family,90003
52,4245018023,5/30/14,Single Family,90066
53,6014025015,1/30/14,Single Family,90044
54,6033013011,11/24/14,Single Family,90044
55,5586017053,12/3/14,Single Family,90068
56,2305005001,6/9/14,Single Family,91605
57,5594001003,6/16/14,Multi-Family,90039
58,5149002015,5/20/14,Single Family,90013
59,5044021010,1/30/14,Multi-Family,90018
60,2558018010,9/19/14,Single Family,91042
61,5535026013,9/16/14,Single Family,90029
62,2506034096,6/9/14,Single Family,91342
63,4425028001,5/15/14,Single Family,90272
64,5057022020,3/5/14,Single Family,90016
65,6067009009,1/7/14,Single Family,90059
66,2230001019,7/15/14,Single Family,91406
67,2226016008,8/18/14,Single Family,91406
68,2701020012,6/27/14,Single Family,91326
69,2688029068,8/22/14,Single Family,91343
70,5006026026,4/17/14,Single Family,90043
71,4360029092,6/2/14,Single Family,90024
72,5191015009,11/19/14,Single Family,90023
73,5558011013,12/9/14,Single Family,90069
74,2531025072,7/29/14,Single Family,91342
75,5075020035,11/7/14,Multi-Family,90006
76,5445019028,1/21/14,Single Family,90031
77,2660010002,11/26/14,Single Family,91345
78,2532027008,7/9/14,Single Family,91331
79,2321014024,10/10/14,Single Family,91605
80,5580016011,6/9/14,Single Family,90068
81,5035025006,3/27/14,Multi-Family,90062
82,2524010002,11/19/14,Single Family,91331
83,5493010026,9/23/14,Single Family,90042
84,5029003031,1/30/14,Single Family,90008
85,4237004006,10/21/14,Single Family,90291
86,4204020117,11/6/14,Single Family,90016
87,2235020055,11/19/14,Single Family,91411
88,6002003014,12/1/14,Multi-Family,90047
89,2271018066,9/4/14,Single Family,91423
90,2656011086,10/27/14,Single Family,91343
91,5060025018,2/3/14,Single Family,90018
92,2642009003,6/27/14,Single Family,91331
93,5155025012,1/14/14,Single Family,90057
94,5548008045,11/7/14,Single Family,90046
95,5570027010,11/26/14,Single Family,90046
96,6048040008,5/6/14,Single Family,90002
97,5580019011,9/19/14,Single Family,90068
98,7442024023,6/9/14,Single Family,90731
99,6055004042,2/3/14,Single Family,90047
100,4254004012,1/29/14,Single Family,90064
101,5526016021,1/30/14,Single Family,90036
102,2124011008,7/30/14,Single Family,91335
103,2116018119,10/27/14,Single Family,91335
104,2684009004,12/22/14,Single Family,91344
105,5113031032,3/11/14,Single Family,90011
106,2420007003,3/10/14,Single Family,91601
107,5003002020,7/29/14,Single Family,90062
108,2606002009,5/13/14,Single Family,91344
109,6015021026,8/20/14,Single Family,90047
110,6048026009,2/11/14,Single Family,90002
111,2344021044,1/20/14,Single Family,91401
112,2213005022,8/6/14,Single Family,91402
113,2509007039,10/9/14,Single Family,91342
