,APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Longitude,Latitude,Property on Map
0,2004019019,10/28/2019,Single Family,8560 N RUDNICK AVE,LOS ANGELES,CA,93063,-118.61291,34.22684,POINT (-118.61291 34.22684)
1,2134029009,06/07/2019,Single Family,6452 N JUMILLA AVE,LOS ANGELES,CA,91367,-118.56314,34.18823,POINT (-118.56314 34.18823)
2,2163016017,11/05/2019,Single Family,19255 W REDWING ST,LOS ANGELES,CA,91356,-118.55295,34.17097,POINT (-118.55295 34.17097)
3,2378026016,04/10/2019,Vacant Residential,11258 W LAURIE DR,LOS ANGELES,CA,91604,-118.37539,34.13644,POINT (-118.37539000000001 34.13644)
4,2376001011,10/28/2019,Single Family,4148 N SUNSWEPT DR,LOS ANGELES,CA,91604,-118.40584,34.14129,POINT (-118.40584 34.14129)
5,2403008013,08/09/2019,Non-Residential,0,0,CA,0,0,0,0
6,2542008007,12/06/2019,Vacant Residential,10340 N CLYBOURN AVE,LOS ANGELES,CA,91040,-118.37082,34.2583,POINT (-118.37082 34.2583)
7,2532007079,11/06/2019,Single Family,12601 W VAN NUYS BLVD,LOS ANGELES,CA,91331,-118.40765,34.27691,POINT (-118.40765 34.27691)
8,2257020009,07/26/2019,Single Family,5460  WHITE OAK,LOS ANGELES,CA,91436,-118.51815,34.17036,POINT (-118.51815000000002 34.17036)
9,5108012011,01/04/2019,Single Family,693 E 51ST ST,LOS ANGELES,CA,90011,-118.26307,33.99671,POINT (-118.26307 33.99671)
10,4356006014,10/11/2019,Single Family,1524 N BENEDICT CANYON DR,LOS ANGELES,CA,90210,-118.43188,34.09936,POINT (-118.43188000000002 34.09936)
11,4377020004,02/11/2019,Single Family,1200 N LINDA FLORA DR,LOS ANGELES,CA,90049,-118.46549,34.09203,POINT (-118.46549000000002 34.09203)
12,5684024018,11/20/2019,Single Family,2545 S MEDLOW AVE,LOS ANGELES,CA,90041,-118.22327,34.12862,POINT (-118.22327 34.12862)
13,2530038011,02/22/2019,Single Family,11446 W TERRA VISTA WAY,LOS ANGELES,CA,91342,-118.38134,34.28364,POINT (-118.38134 34.28364)
14,6052024012,11/05/2019,Single Family,323 E 93RD ST,LOS ANGELES,CA,90003,-118.26869,33.95211,POINT (-118.26869 33.95211)
15,5547023021,11/20/2019,Multi-Family,1408 N LAS PALMAS AVE,HOLLYWOOD,CA,90028,-118.33645,34.09646,POINT (-118.33645 34.09646)
16,6003025017,06/25/2019,Single Family,1213 W 62ND ST,LOS ANGELES,CA,90044,-118.29631,33.98336,POINT (-118.29631 33.98336)
17,5017008022,11/05/2019,Single Family,1333 W 51ST PL,LOS ANGELES,CA,90037,-118.29924,33.99609,POINT (-118.29924 33.99609)
18,5085009048,11/06/2019,Single Family,1002 S BURNSIDE AVE,LOS ANGELES,CA,90036,-118.35135,34.05706,POINT (-118.35134999999998 34.05706)
19,5577030001,01/04/2019,Vacant Residential,2401 N SAN MARCO DR,LOS ANGELES,CA,90068,-118.3312,34.1147,POINT (-118.33120000000001 34.1147)
20,6013017034,11/05/2019,Single Family,6629 S ESTRELLA AVE,LOS ANGELES,CA,90044,-118.28499,33.97857,POINT (-118.28499000000001 33.97857)
21,6029018016,03/11/2019,Single Family,755 E 84TH ST,LOS ANGELES,CA,90001,-118.2611,33.96298,POINT (-118.2611 33.96298)
22,7414026028,05/06/2019,Single Family,1119 W SANDISON ST,LOS ANGELES,CA,90744,-118.27712,33.79238,POINT (-118.27712000000001 33.79238)
23,7445004222,11/18/2019,Single Family,1445 W BRETT PL,SAN PEDRO,CA,90732,-118.30869,33.75651,POINT (-118.30869 33.75651)
24,7416027010,03/21/2019,Single Family,620 N NEPTUNE AVE,LOS ANGELES,CA,90744,-118.2686,33.77742,POINT (-118.2686 33.77742)
25,7445004222,11/11/2019,Single Family,1445 W BRETT PL,SAN PEDRO,CA,90732,-118.30869,33.75651,POINT (-118.30869 33.75651)
26,7415015023,08/05/2019,Single Family,1107 W ROBIDOUX ST,LOS ANGELES,CA,90744,-118.27655,33.78789,POINT (-118.27654999999999 33.78789)
27,7448026006,01/31/2019,Single Family,554 W BONITA ST,SAN PEDRO,CA,90731,-118.28914,33.74793,POINT (-118.28914 33.74793)
28,7442003016,11/18/2019,Single Family,916 W WESTMONT DR,LOS ANGELES,CA,90731,-118.29825,33.76366,POINT (-118.29825 33.76366)
29,7415014020,01/07/2019,Single Family,1123 W PAPEETE ST,LOS ANGELES,CA,90744,-118.27708,33.78701,POINT (-118.27708 33.78701)
30,7469022079,01/08/2019,Single Family,3642 S BARBARA ST,SAN PEDRO,CA,90731,-118.3042,33.7144,POINT (-118.30419999999998 33.7144)
31,7422014004,12/11/2019,Single Family,1655 N BANNING BLVD,LOS ANGELES,CA,90744,-118.26001,33.79722,POINT (-118.26000999999998 33.79722)
32,7458014042,01/25/2019,Single Family,1110 S LELAND ST,SAN PEDRO,CA,90731,-118.30101,33.73427,POINT (-118.30101000000002 33.73427)
33,4326008005,05/02/2019,Single Family,10568 W ASHTON AVE,LOS ANGELES,CA,90024,-118.43173,34.06143,POINT (-118.43173 34.06143)
34,2404008001,11/07/2019,Single Family,10820 W PENROSE ST,LOS ANGELES,CA,91352,-118.36568,34.23216,POINT (-118.36568000000001 34.23216)
35,2504021016,11/27/2019,Single Family,13855 W ASTORIA ST,LOS ANGELES,CA,91342,-118.43514,34.31502,POINT (-118.43514 34.31502)
36,2044012014,01/01/2019,Single Family,23501 W LADRILLO ST,LOS ANGELES,CA,91367,-118.63879,34.16694,POINT (-118.63879 34.16694)
37,4370015020,01/07/2019,Single Family,1516 N STONE CANYON RD,LOS ANGELES,CA,90077,-118.4543,34.10125,POINT (-118.45430000000002 34.10125)
38,7415003017,02/04/2019,Single Family,1123 W M ST,LOS ANGELES,CA,90744,-118.27721,33.78871,POINT (-118.27721000000001 33.78871)
39,2360001030,01/22/2019,Single Family,13546 W SARAH ST,LOS ANGELES,CA,91423,-118.42842,34.15386,POINT (-118.42842 34.15386)
40,2415015034,05/16/2019,Single Family,5805 N WHITNALL HWY,LOS ANGELES,CA,91601,-118.36248,34.17605,POINT (-118.36248 34.17605)
41,2781031030,11/05/2019,Single Family,8836 N COMANCHE AVE,LOS ANGELES,CA,91306,-118.57204,34.23115,POINT (-118.57204 34.23115)
42,5551024014,01/24/2019,Single Family,1438 N OGDEN DR,HOLLYWOOD,CA,90046,-118.35913,34.09731,POINT (-118.35913 34.09731)
43,5051027016,01/09/2019,Single Family,2907 S NORTON AVE,LOS ANGELES,CA,90018,-118.3329,34.02922,POINT (-118.33290000000001 34.02922)
44,2604022016,07/03/2019,Single Family,15157 W REX ST,LOS ANGELES,CA,91342,-118.4633,34.30113,POINT (-118.4633 34.30113)
45,2779006047,06/08/2019,Single Family,8341 N DE SOTO AVE,LOS ANGELES,CA,91304,-118.58871,34.22126,POINT (-118.58871000000002 34.22126)
46,6051004010,06/06/2019,Single Family,10335 S MCKINLEY AVE,LOS ANGELES,CA,90002,-118.26095,33.94221,POINT (-118.26095 33.94221)
47,2653011001,07/07/2019,Single Family,8544 N NOBLE AVE,LOS ANGELES,CA,91343,-118.461,34.22599,POINT (-118.461 34.22599)
48,5101029022,10/18/2019,Multi-Family,220 1/2 W 55TH ST,LOS ANGELES,CA,90037,-118.27701,33.99229,POINT (-118.27701 33.99229)
49,4006001014,06/20/2019,Single Family,6023 S 8TH AVE,LOS ANGELES,CA,90043,-118.32665,33.9847,POINT (-118.32665 33.9847)
50,2651005016,07/25/2019,Single Family,14800 W CALAHAN ST,LOS ANGELES,CA,91402,-118.45556,34.23626,POINT (-118.45556 34.23626)
51,2673003044,02/28/2019,Single Family,8545 N GLORIA AVE,LOS ANGELES,CA,91343,-118.48095,34.226,POINT (-118.48094999999999 34.226)
52,2747024040,09/20/2019,Single Family,10125  DE SOTO,LOS ANGELES,CA,91311,-118.58875,34.25448,POINT (-118.58874999999999 34.25448)
53,2345003033,01/11/2019,Multi-Family,13246 W CUMPSTON ST,LOS ANGELES,CA,91401,-118.42137,34.16952,POINT (-118.42137000000001 34.16952)
54,5451023017,10/17/2019,Vacant Residential,469 W DEL NORTE ST,LOS ANGELES,CA,90065,-118.21545,34.0924,POINT (-118.21545 34.0924)
55,2748033034,02/14/2019,Single Family,20270 W LABRADOR ST,LOS ANGELES,CA,91311,-118.57506,34.24902,POINT (-118.57505999999998 34.24902)
56,4412027008,08/06/2019,Single Family,15230 W EARLHAM ST,LOS ANGELES,CA,90272,-118.52627,34.03677,POINT (-118.52627 34.03677)
57,2264014008,02/08/2019,Single Family,4736 N NORWICH AVE,LOS ANGELES,CA,91403,-118.46054,34.15668,POINT (-118.46054000000001 34.15668)
58,5143012021,07/26/2019,Multi-Family,726 S COLUMBIA AVE,LOS ANGELES,CA,90017,-118.26888,34.05192,POINT (-118.26888 34.05192)
59,2706032018,05/01/2019,Single Family,21217 W TULSA ST,LOS ANGELES,CA,91311,-118.59516,34.26766,POINT (-118.59515999999999 34.26766)
60,2045009029,01/15/2019,Single Family,6115 N DILL PL,LOS ANGELES,CA,91367,-118.64717,34.18122,POINT (-118.64717 34.18122)
61,5492030015,01/17/2019,Single Family,6332 S ARROYO GLEN ST,LOS ANGELES,CA,90042,-118.18366,34.11226,POINT (-118.18366 34.11226)
62,5054018015,06/10/2019,Single Family,2320 S RAYMOND AVE,LOS ANGELES,CA,90007,-118.29741,34.03478,POINT (-118.29741000000001 34.03478)
63,2662001024,08/06/2019,Single Family,11425 N BLUCHER AVE,LOS ANGELES,CA,91344,-118.47113,34.27791,POINT (-118.47113 34.27791)
64,4256023027,01/03/2019,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064,-118.43053,34.03527,POINT (-118.43052999999999 34.03527)
65,4236030017,12/23/2019,Single Family,1217 E ELM ST,LOS ANGELES,CA,90291,-118.44868,33.99245,POINT (-118.44868000000001 33.99245)
66,4250006021,06/26/2019,Multi-Family,3203 S BARRINGTON AVE,LOS ANGELES,CA,90066,-118.43616,34.01922,POINT (-118.43615999999999 34.01922)
67,6067007032,01/15/2019,Single Family,10914 S ANZAC AVE,LOS ANGELES,CA,90059,-118.23786,33.93667,POINT (-118.23786000000001 33.93667)
68,2627010006,01/15/2019,Single Family,13267 W RELIANCE ST,LOS ANGELES,CA,91331,-118.42155,34.2307,POINT (-118.42155000000001 34.230700000000006)
69,5186009019,06/10/2019,Single Family,446 S BERNAL AVE,LOS ANGELES,CA,90063,-118.19865,34.03315,POINT (-118.19865 34.03315)
70,2027035009,01/01/2019,Single Family,23768 W POSEY LANE,LOS ANGELES,CA,93063,-118.64645,34.20882,POINT (-118.64645 34.20882)
71,6029008030,02/01/2019,Multi-Family,612 E 80TH ST,LOS ANGELES,CA,90001,-118.26455,33.96632,POINT (-118.26455 33.96632)
72,6117009002,11/05/2019,Multi-Family,858 W ATHENS BLVD,LOS ANGELES,CA,90044,-118.29078,33.92323,POINT (-118.29078 33.923230000000004)
73,5106022004,01/07/2019,Multi-Family,1608 1/2 E 49TH ST,LOS ANGELES,CA,90011,-118.24528,33.99828,POINT (-118.24527999999998 33.99828)
74,4416019032,01/10/2019,Single Family,550 N PASEO MIRAMAR,LOS ANGELES,CA,90272,-118.55703,34.04693,POINT (-118.55703 34.04693)
75,4366015033,03/01/2019,Single Family,375 S GLENROY AVE,LOS ANGELES,CA,90049,-118.46166,34.06839,POINT (-118.46166000000001 34.06839)
76,2779014011,03/22/2019,Single Family,21341 W COMMUNITY ST,LOS ANGELES,CA,91304,-118.59651,34.22226,POINT (-118.59651 34.22226)
77,4371019022,08/05/2019,Vacant Residential,10438  UNKNOWN ST (HH),LOS ANGELES,CA,90077,-118.44101,34.09289,POINT (-118.44101 34.09289)
78,5420009006,12/20/2019,Single Family,2027 N LEMOYNE ST,LOS ANGELES,CA,90026,-118.25324,34.08957,POINT (-118.25324 34.08957)
79,2651007125,12/09/2019,Single Family,9155 N CEDROS AVE,LOS ANGELES,CA,91402,-118.45375,34.23712,POINT (-118.45375 34.23712)
80,5672005012,10/29/2019,Vacant Residential,312 S MOUNT CARMEL DR,LOS ANGELES,CA,90041,-118.22385,34.14846,POINT (-118.22385000000001 34.14846)
81,6035014007,12/04/2019,Single Family,2032 W 82ND ST,LOS ANGELES,CA,90047,-118.31448,33.96447,POINT (-118.31448 33.96447)
82,5113034008,01/04/2019,Multi-Family,4204 1/2 S WALL ST,LOS ANGELES,CA,90011,-118.27149,34.00723,POINT (-118.27149000000001 34.00723)
83,2277009019,10/29/2019,Single Family,15047 W RAYNETA DR,LOS ANGELES,CA,91403,-118.46235,34.14455,POINT (-118.46235000000001 34.14455)
84,4325001080,09/13/2019,Single Family,10724 W WILSHIRE BLVD 1-157,LOS ANGELES,CA,90024,-118.43646,34.06049,POINT (-118.43646000000001 34.06049)
85,4229019130,02/26/2019,Single Family,13700 W MARINA POINTE DR,LOS ANGELES,CA,90292,-118.44503,33.98482,POINT (-118.44503 33.98482)
86,2244008001,10/09/2019,Single Family,5860 N NATICK AVE,VAN NUYS,CA,91411,-118.45393,34.17741,POINT (-118.45393 34.17741000000001)
87,2656001004,01/09/2019,Single Family,15518 W LASSEN ST,LOS ANGELES,CA,91345,-118.4705,34.24991,POINT (-118.4705 34.24991)
88,6074023067,02/01/2019,Multi-Family,216 W 112TH ST,LOS ANGELES,CA,90061,-118.27667,33.93281,POINT (-118.27667000000001 33.93281)
89,5405021051,06/06/2019,Single Family,842 N EAST KENSINGTON ROAD,LOS ANGELES,CA,90026,-118.25242,34.07206,POINT (-118.25242 34.07206)
90,5538018005,03/10/2019,Multi-Family,923 1/2 N HELIOTROPE DR,LOS ANGELES,CA,90029,-118.29513,34.08868,POINT (-118.29513 34.08868)
91,2307010014,03/01/2019,Single Family,12167 W KESWICK ST,LOS ANGELES,CA,91605,-118.39909,34.2105,POINT (-118.39909 34.2105)
92,2378025027,01/10/2019,Single Family,3779 N BERRY DR,LOS ANGELES,CA,91604,-118.37958,34.13759,POINT (-118.37958 34.13759)
93,2355016028,03/11/2019,Single Family,11826 W KLING ST,LOS ANGELES,CA,91607,-118.39092,34.15569,POINT (-118.39092 34.15569)
94,5558021013,01/31/2019,Single Family,8613 W FRANKLIN AVE,LOS ANGELES,CA,90069,-118.37794,34.10049,POINT (-118.37793999999998 34.10049)
95,2242017114,11/08/2019,Single Family,15050  VICTORY,LOS ANGELES,CA,91411,-118.46028,34.18643,POINT (-118.46028 34.18643)
96,2532010067,07/26/2019,Single Family,12345 W STONEGATE RD,LOS ANGELES,CA,91331,-118.40066,34.28041,POINT (-118.40066 34.28041)
97,2779005063,05/22/2019,Single Family,8550 N INDEPENDENCE AVE,LOS ANGELES,CA,91304,-118.59055,34.22624,POINT (-118.59055 34.226240000000004)
98,2171007016,01/15/2019,Single Family,21635 W ARCOS DR,LOS ANGELES,CA,91364,-118.60096,34.15487,POINT (-118.60096 34.15487)
99,6067005044,03/07/2019,Multi-Family,1927 1/2 E 111TH ST,LOS ANGELES,CA,90059,-118.23797,33.93439,POINT (-118.23797000000002 33.93439)
100,5081001027,09/18/2019,Multi-Family,1250 1/2 S CRENSHAW BLVD,LOS ANGELES,CA,90019,-118.32621,34.04835,POINT (-118.32620999999999 34.04835)
101,2340004007,05/31/2019,Single Family,12156 W OXNARD ST,LOS ANGELES,CA,91606,-118.39845,34.17922,POINT (-118.39845 34.17922)
102,2506025010,05/07/2019,Single Family,12925 N WOODCOCK AVE,LOS ANGELES,CA,91342,-118.45434,34.30468,POINT (-118.45434 34.30468)
103,2785016029,04/10/2019,Single Family,18606 W COMMUNITY ST,LOS ANGELES,CA,91324,-118.53852,34.2228,POINT (-118.53852 34.2228)
104,5443030028,10/24/2019,Vacant Residential,1908 W MODJESKA ST,LOS ANGELES,CA,90039,-118.24917,34.09722,POINT (-118.24916999999999 34.09722)
105,6004025020,07/30/2019,Multi-Family,623 W 62ND ST,LOS ANGELES,CA,90044,-118.28461,33.98338,POINT (-118.28461 33.98338)
106,2343005013,10/28/2019,Multi-Family,5850 N WOODMAN AVE,VAN NUYS,CA,91401,-118.43104,34.17707,POINT (-118.43104 34.17707)
107,6015007013,04/24/2019,Single Family,1512 W 65TH ST,LOS ANGELES,CA,90047,-118.30279,33.98052,POINT (-118.30279000000002 33.98052)
108,5029015017,07/15/2019,Single Family,5708 W BRUSHTON ST,LOS ANGELES,CA,90008,-118.36992,34.01813,POINT (-118.36992000000001 34.01813)
109,5422012016,11/19/2019,Vacant Residential,2231 N FAIR OAK VIEW TER,LOS ANGELES,CA,90039,-118.25678,34.09433,POINT (-118.25678 34.09433)
110,4443010001,01/31/2019,Single Family,18000 W SEA REEF DR,LOS ANGELES,CA,90272,-118.56872,34.04641,POINT (-118.56872 34.04641)
111,2632020022,11/08/2019,Single Family,8607 N TELFAIR AVE,LOS ANGELES,CA,91352,-118.38571,34.22577,POINT (-118.38571 34.22577)
112,2747014045,01/18/2019,Single Family,10030  OWENSMOUTH,LOS ANGELES,CA,91311,-118.60058,34.25348,POINT (-118.60058000000001 34.25348)
113,4251008028,11/05/2019,Single Family,3030 S GREENFIELD AVE,LOS ANGELES,CA,90034,-118.42362,34.02808,POINT (-118.42362 34.02808)
114,2259007017,09/26/2019,Single Family,16651 W LA MAIDA ST,LOS ANGELES,CA,91436,-118.4962,34.16199,POINT (-118.4962 34.16199)
115,5591020007,03/05/2019,Single Family,3943 W PROSPECT AVE,LOS ANGELES,CA,90027,-118.27834,34.10225,POINT (-118.27834 34.10225)
116,2168025051,01/03/2019,Single Family,5319 N TENDILLA AVE,LOS ANGELES,CA,91364,-118.60189,34.16638,POINT (-118.60189 34.16638)
117,5042019018,01/01/2019,Single Family,1924 W ROCHESTER CIR,LOS ANGELES,CA,90018,-118.31469,34.02102,POINT (-118.31468999999998 34.02102)
118,2405010002,01/10/2019,Single Family,10046 W KESWICK ST,LOS ANGELES,CA,91352,-118.35028,34.21058,POINT (-118.35028 34.21058)
119,2005016015,01/01/2019,Single Family,23401 W SCHOENBORN ST,LOS ANGELES,CA,91304,-118.63684,34.22028,POINT (-118.63683999999999 34.22028)
120,2209009005,06/12/2019,Single Family,8123 N NOBLE AVE,LOS ANGELES,CA,91402,-118.46197,34.21856,POINT (-118.46197 34.21856)
121,6023012011,07/30/2019,Single Family,1000 E 74TH ST,LOS ANGELES,CA,90001,-118.25757,33.97289,POINT (-118.25757 33.97289)
122,2651008040,01/01/2019,Single Family,9121 N TOBIAS AVE,LOS ANGELES,CA,91402,-118.45178,34.2361,POINT (-118.45178 34.2361)
123,2501003054,01/30/2019,Single Family,15520 N MONTE ST,LOS ANGELES,CA,91342,-118.46881,34.31635,POINT (-118.46881 34.31635)
124,2321023001,01/17/2019,Multi-Family,11936 W DEHOUGNE ST,NORTH HOLLYWOOD,CA,91605,-118.39364,34.19572,POINT (-118.39364 34.19572)
125,5053003031,01/03/2019,Multi-Family,2012 W 28TH ST,LOS ANGELES,CA,90018,-118.30941,34.0298,POINT (-118.30941 34.0298)
126,2733023009,02/08/2019,Single Family,17400 W HIAWATHA ST,LOS ANGELES,CA,91344,-118.5135,34.25918,POINT (-118.51350000000001 34.25918)
127,4115010013,12/19/2019,Single Family,8224 W REES ST,LOS ANGELES,CA,90293,-118.44148,33.96,POINT (-118.44148000000001 33.96)
128,4103017028,01/03/2019,Single Family,7136 S GLASGOW AVE,LOS ANGELES,CA,90045,-118.37233,33.9711,POINT (-118.37233000000002 33.9711)
129,2104031098,01/01/2019,Single Family,19231 W SHERMAN WAY,LOS ANGELES,CA,91335,-118.55238,34.20246,POINT (-118.55238 34.20246)
130,2530030008,02/24/2019,Single Family,11451 N WHEELER AVE,LOS ANGELES,CA,91342,-118.38843,34.2776,POINT (-118.38842999999999 34.2776)
131,5007017026,01/01/2019,Single Family,5449 S HILLCREST DR,LOS ANGELES,CA,90043,-118.33682,33.99155,POINT (-118.33682000000002 33.99155)
132,4305009019,01/08/2019,Single Family,1528 S DURANGO AVE,LOS ANGELES,CA,90035,-118.38838,34.05158,POINT (-118.38838 34.05158)
133,2679020026,01/03/2019,Single Family,16318 W CLYMER ST,LOS ANGELES,CA,91344,-118.48797,34.26252,POINT (-118.48796999999999 34.26252)
134,6034030022,01/15/2019,Single Family,1612 W 85TH ST,LOS ANGELES,CA,90047,-118.30519,33.96079,POINT (-118.30519000000001 33.96079)
135,5556009005,01/21/2019,Single Family,8353 W YUCCA TR,HOLLYWOOD,CA,90046,-118.37227,34.10434,POINT (-118.37227000000001 34.10434)
136,2277009019,11/05/2019,Single Family,15047 W RAYNETA DR,LOS ANGELES,CA,91403,-118.46235,34.14455,POINT (-118.46235000000001 34.14455)
137,2228007014,03/21/2019,Single Family,7237 N ANATOLA AVE,LOS ANGELES,CA,91406,-118.5151,34.20248,POINT (-118.51509999999999 34.20248)
138,7416022028,10/25/2019,Multi-Family,932 N MCDONALD AVE,WILMINGTON,CA,90744,-118.27113,33.78194,POINT (-118.27113000000001 33.78194)
139,5229028022,11/13/2019,Single Family,1023 N SENTINEL AVE,LOS ANGELES,CA,90063,-118.19499,34.05002,POINT (-118.19499000000002 34.05002)
140,5023022010,10/23/2019,Single Family,4183 S 4TH AVE,LOS ANGELES,CA,90008,-118.32151,34.0081,POINT (-118.32151 34.008100000000006)
141,2872015020,10/28/2019,Single Family,18622 W BRASILIA DR,LOS ANGELES,CA,91326,-118.53918,34.28316,POINT (-118.53917999999999 34.28316)
142,4327003067,10/28/2019,Single Family,1333  BEVERLY GLEN,LOS ANGELES,CA,90024,-118.42688,34.06319,POINT (-118.42688 34.06319)
143,5480012027,01/01/2019,Single Family,908 N CRESTWOOD TER,LOS ANGELES,CA,90042,-118.19057,34.13059,POINT (-118.19057 34.13059)
144,5006019025,02/11/2019,Single Family,5351 S 7TH AVE,LOS ANGELES,CA,90043,-118.32484,33.99354,POINT (-118.32484 33.99354000000001)
145,6042014005,04/23/2019,Single Family,718 E 91ST ST,LOS ANGELES,CA,90002,-118.26232,33.95367,POINT (-118.26232000000002 33.95367)
146,2275030004,07/22/2019,Single Family,3731 N BEVERLY GLEN BLVD,LOS ANGELES,CA,91423,-118.45052,34.13886,POINT (-118.45052000000001 34.13886)
147,2618013015,05/15/2019,Single Family,13934 W FILMORE ST,LOS ANGELES,CA,91331,-118.43701,34.26033,POINT (-118.43701 34.26033)
148,2116005089,06/12/2019,Single Family,19660 W SATICOY ST,RESEDA,CA,91335,-118.56125,34.2082,POINT (-118.56125000000002 34.2082)
149,2276036033,01/30/2019,Single Family,14617 W ROUND VALLEY DR,LOS ANGELES,CA,91403,-118.45114,34.14605,POINT (-118.45114 34.14605)
150,2625002028,01/08/2019,Single Family,13219 W BROMWICH ST,LOS ANGELES,CA,91331,-118.42147,34.24209,POINT (-118.42147 34.24209)
151,4251025020,01/17/2019,Single Family,3420 S MILITARY AVE,LOS ANGELES,CA,90034,-118.42022,34.02224,POINT (-118.42021999999999 34.02224)
152,6109008002,03/26/2019,Single Family,1207 W 186TH ST,LOS ANGELES,CA,90248,-118.29466,33.8621,POINT (-118.29466 33.8621)
153,2168007034,07/25/2019,Single Family,5255 N MEDINA ROAD,LOS ANGELES,CA,91364,-118.59871,34.16484,POINT (-118.59871 34.16484)
154,5577036003,01/31/2019,Single Family,3224 N TAHOE PL,LOS ANGELES,CA,90068,-118.33004,34.12734,POINT (-118.33004 34.12734)
155,2631026015,01/28/2019,Single Family,11826 W SNELLING ST,LOS ANGELES,CA,91352,-118.3911,34.23248,POINT (-118.3911 34.23248)
156,6020021026,01/03/2019,Multi-Family,617 1/2 W 76TH ST,LOS ANGELES,CA,90044,-118.28478,33.97086,POINT (-118.28478 33.97086)
