,APN,Registered Date,Property Type,Property Zip
0,4239001009,1/7/14,Multi-Family,90291.0
1,5006020018,5/12/14,Single Family,90043.0
2,5115024026,1/14/14,Multi-Family,90011.0
3,5114031027,4/10/14,Multi-Family,90011.0
4,6074021008,1/27/14,Single Family,90061.0
5,2236017018,1/14/14,Multi-Family,91411.0
6,5124022013,1/17/14,Single Family,90007.0
7,2511004001,12/4/14,Single Family,91342.0
8,5137029022,12/9/14,Multi-Family,90015.0
9,4125014023,10/1/14,Multi-Family,90045.0
10,5032022181,12/29/14,Single Family,90008.0
11,7469005007,9/29/14,Single Family,90731.0
12,5026007005,1/31/14,Single Family,90008.0
13,2683020016,9/5/14,Single Family,91344.0
14,4258017094,2/25/14,Single Family,90064.0
15,2315018021,5/6/14,Single Family,91352.0
16,2502023066,7/14/14,Single Family,91342.0
17,5420023001,1/23/14,Single Family,90026.0
18,4248030005,4/9/14,Single Family,90066.0
19,4125003027,1/13/14,Single Family,90045.0
20,2014025001,6/3/14,Single Family,93063.0
21,2010012024,9/4/14,Single Family,91304.0
22,2375020126,12/2/14,Single Family,91604.0
23,5016013006,11/25/14,Single Family,90062.0
24,2108028003,10/31/14,Single Family,91306.0
25,5048003052,4/8/14,Single Family,90016.0
26,2107015040,9/30/14,Single Family,91306.0
27,2601055027,10/27/14,Single Family,91344.0
28,2034029045,10/27/14,Single Family,91307.0
29,5116011023,4/4/14,Single Family,90011.0
30,5115017008,3/7/14,Single Family,90011.0
31,4118013053,9/10/14,Single Family,90293.0
32,2177040017,9/8/14,Single Family,91356.0
33,7460012014,12/18/14,Single Family,90732.0
34,5511024015,1/20/14,Single Family,90048.0
35,6054024007,3/18/14,Single Family,90044.0
36,2782007016,7/9/14,Single Family,91306.0
37,5426008027,3/31/14,Single Family,90026.0
38,2365013009,1/28/14,Single Family,91602.0
39,2222003011,12/1/14,Single Family,91406.0
40,2530031019,12/15/14,Single Family,91342.0
41,2293001021,6/9/14,Single Family,91436.0
42,5204010013,5/28/14,Single Family,90031.0
43,2692024009,1/22/14,Single Family,91325.0
44,4311021019,3/12/14,Single Family,90034.0
45,5013026009,1/13/14,Single Family,90043.0
46,4313021001,1/8/14,Single Family,90034.0
47,2101013003,11/5/14,Single Family,91335.0
48,2163021029,9/8/14,Single Family,91356.0
49,5083016016,7/7/14,Multi-Family,90019.0
50,6041001018,1/27/14,Single Family,90003.0
51,6006024028,9/15/14,Multi-Family,90003.0
52,4245018023,5/30/14,Single Family,90066.0
53,6014025015,1/30/14,Single Family,90044.0
